source,target,score
"The tendency to group together objects that are the same size, shape, color, or form is known as [MASK] [SEP] similarity",closure continuation nearness near similarity connection relative balance variation solution,0.3866193890571594 0.018312765285372734 0.0032985382713377476 0.0032584911677986383 0.0032505562994629145 0.002720407908782363 0.002509478246793151
"Twenty extremely accurate clocks are locked in two bank vaults (ten in each). A subject who claims to have paranormal powers concentrates on the clocks in one of the vaults, attempting to make them run faster. If she succeeds, she will have demonstrated [MASK] [SEP] psychokinesis",clairvoyance telepathy mesmerism me tel clair psycho my pre re,0.4553869962692261 0.14221130311489105 0.12651827931404114 0.045262981206178665 0.024157630279660225 0.013019319623708725 0.011484869755804539
The purported ability to perceive events at a distance or through physical barriers is termed [MASK] [SEP] clairvoyance,telepathy precognition psychokinesis psycho pre tel clair re en me,0.4060066044330597 0.35469648241996765 0.07240297645330429 0.013249128125607967 0.011862699873745441 0.006610210053622723 0.006281217560172081
[MASK] processing is like putting together a picture puzzle you've never seen before. [SEP] Bottom-up,Top-down Left-right Selective top left selective all right partial at,0.2871370017528534 0.26904401183128357 0.1273786723613739 0.015795020386576653 0.014621643349528313 0.0068004257045686245 0.00544585008174181
The tendency to complete a figure is called [MASK] [SEP] closure,continuation similarity continuity closure differentiation equality acceleration variation variety adaptation,0.015351998619735241 0.002743468852713704 0.002246956340968609 0.00214838283136487 0.001963293179869652 0.0017371887806802988 0.0014436908531934023
Assembling sensations into usable patterns is called [MASK] [SEP] perception,attention evaluation habituation habit adaptation perception re recognition awareness preference,0.13764378428459167 0.009554185904562473 0.00889720767736435 0.008507824502885342 0.006563921924680471 0.006374050863087177 0.005174656398594379
The [MASK] believe that depth perception is learned. [SEP] empiricists,nativists humanists structuralists humanist structural nat em behavior trait psycho,0.33848538994789124 0.3123410642147064 0.07695755362510681 0.03178829699754715 0.0289620328694582 0.00930073857307434 0.005713231861591339
An ability to &quot;read&quot; another person's mind is termed [MASK] [SEP] telepathy,clairvoyance precognition psychokinesis pre psycho clair tel subconscious en inc,0.4180757999420166 0.2511201500892639 0.13722911477088928 0.016075825318694115 0.008229861035943031 0.007474891841411591 0.007282437290996313
The [MASK] believe that depth perception is inborn. [SEP] nativists,empiricists humanists behaviorists em humanist behavior structural trait psycho nat,0.28537920117378235 0.2559257447719574 0.22321473062038422 0.03276470676064491 0.015749670565128326 0.013479086570441723 0.013328474014997482
Cross-cultural experiences suggest that pictorial cues for depth perception are [MASK] [SEP] learned,universal irrelevant illusions intuitive genuine actual achieved learned observed normal,0.004866240080446005 0.0036829945165663958 0.0035486328415572643 0.003324277698993683 0.0025763234589248896 0.002358105732128024 0.0022819216828793287
The purported ability to predict future events is called [MASK] [SEP] precognition,clairvoyance psychokinesis telepathy psycho clair tel pre en re di,0.4572409391403198 0.15831132233142853 0.14052797853946686 0.04347860440611839 0.008463113568723202 0.006740101613104343 0.006639774423092604
Television ads that are in black and white are just trying to take advantage of [MASK] attention getting technique [SEP] contrast,loudness motion repetition loud resonance color vibration variation sound frequency,0.08153330534696579 0.008667321875691414 0.0076202997006475925 0.006507646758109331 0.005725650116801262 0.004838332533836365 0.003755748737603426
an unconscious personality structure made up of biological urges seeking fulfillment is [MASK] of the following [SEP] id,ego superego subconscious super my consciousness autonomy so me psycho,0.016326723620295525 0.006664488930255175 0.006480756681412458 0.005034032743424177 0.004856766201555729 0.004706001374870539 0.004545086063444614
"In the Freudian view of personality, [MASK] system is totally unconscious and dominated by biological instincts [SEP] id",ego superego libido li super co subconscious psycho id pre,0.11400908976793289 0.10799229145050049 0.02204473875463009 0.009769804775714874 0.0073596639558672905 0.006472141947597265 0.00624488340690732
A psychiatrist who explains pathological behavior as a conflict between underlying psychological forces is using the [MASK]__ model. [SEP] psychoanalytic,behavioral medical humanistic humanist psycho behavior cognitive physical biological trait,0.4216836094856262 0.06624356657266617 0.0384567491710186 0.0070619722828269005 0.006776871625334024 0.0060249026864767075 0.0045563396997749805
The part of the mind that is beyond awareness is called the [MASK] [SEP] unconscious,conscious postconscious preconscious pre post unconscious subconscious sub psycho self,0.17321115732192993 0.16983535885810852 0.029156053438782692 0.011105068027973175 0.008671524934470654 0.0038731894455850124 0.0029075653292238712
The [MASK] contains material of which you may be unaware but that can easily be brought to awareness. [SEP] preconscious,subconscious unconscious conscious consciousness brain post ego pre self inc,0.007881736382842064 0.006731262896209955 0.0029519214294850826 0.002683915663510561 0.0025473085697740316 0.00235239090397954 0.002334323711693287
"If you know the personality of an identical twin, you can expect the personality of the other twin to be [MASK] [SEP] similar",unrelated identical conflicting different associated similar related rival same opposite,0.004267754964530468 0.003311456646770239 0.003296284005045891 0.003093564184382558 0.0026811533607542515 0.0025380654260516167 0.002362278988584876
"According to Freud, the Oedipal and Electra conflicts end when a child takes on the values and behaviors of the same sex parent in a process called [MASK] [SEP] identification",fixation imitation observation fix evaluation identification adaptation education orientation analysis,0.17116747796535492 0.010233013890683651 0.007766816299408674 0.005700662732124329 0.0047369664534926414 0.002769986866042018 0.002699213335290551
"Between the ages of 1 and 3 years, the child is said to go through the [MASK]__ stage. [SEP] anal",phallic latency genital gen ph late anal mid pre frontal,0.4170513451099396 0.18313711881637573 0.12985263764858246 0.02406327798962593 0.010814965702593327 0.009417847730219364 0.007035489659756422
[MASK] was developed by sigmund freud [SEP] psychoanalytic,behavioristic humanistic psychosocial humanist psycho behavior trait medical behavioral ego,0.3594701886177063 0.2664097249507904 0.2308274507522583 0.026790233328938484 0.008754770271480083 0.00702235521748662 0.005622032564133406
"If self-esteem is too high, the person may be [MASK] [SEP] arrogant",boring ineffective dull weak unsuitable confused unhappy low avoid generous,0.004956268239766359 0.003175879828631878 0.0031623581890016794 0.002639138838276267 0.0014400705695152283 0.0013681139098480344 0.0013191510224714875
"[MASK] theories stress private, subjective experience and personal growth. [SEP] Humanistic",Trait Behavioristic Psychodynamic trait psycho behavior humanist behavioral cognitive sc,0.33621135354042053 0.3215269446372986 0.2714861035346985 0.012182651087641716 0.0032728707883507013 0.0032447869889438152 0.002154590329155326
"During the first year of life, the child is said to go through the [MASK] stage. [SEP] oral",anal genital phallic gen ph late tha mouth o brain,0.2238202840089798 0.17703428864479065 0.0047030337154865265 0.004020756110548973 0.0028886357322335243 0.002872623736038804 0.0025392810348421335
"If you were asked to describe the personality of your best friend, and you said she was optimistic, reserved, and friendly, you would be using the [MASK] approach. [SEP] trait",psychodynamic analytical humanistic psycho humanist trait behavior cognitive functional di,0.42506498098373413 0.30122366547584534 0.00971414614468813 0.008187850005924702 0.005249201785773039 0.004807324148714542 0.0033321836963295937
"According to Rogers, the [MASK] self represents a very idealized self-image. [SEP] ideal",phenomenal incongruent archetypal inc phenomena arch super subconscious self conscious,0.4507153034210205 0.1990870237350464 0.11204563826322556 0.012104454450309277 0.006569806020706892 0.006408793851733208 0.005287847947329283
"In Freudian theory, the [MASK] is the &quot;executive&quot; structure that is directed by the reality principle. [SEP] ego",id superego libido li super co ego eli di psycho,0.20925790071487427 0.12639805674552917 0.018090395256876945 0.013032476417720318 0.004869276657700539 0.004699026234447956 0.004352734889835119
"In Adler's view, the main striving of personality is for [MASK] [SEP] superiority",dominance sophistication instincts so ego competence coe pre obedience excitement,0.29172948002815247 0.024617502465844154 0.008034585043787956 0.005709315650165081 0.004950073082000017 0.0049334061332046986 0.004780588671565056
[MASK] theories attempt to explain behavior by focusing on the inner workings of the personality including internal conflicts [SEP] psychodynamic,trait behavioristic humanistic behavior humanist psycho behavioral structural biological medical,0.3436037600040436 0.1834714710712433 0.036227937787771225 0.004597307648509741 0.0023853543680161238 0.002283896552398801 0.001633238629437983
[MASK] theorists believe humans have free will. [SEP] Humanistic,Behavioristic Psychoanalytic Trait trait behavior psycho humanist cognitive structural social,0.37908998131752014 0.33149242401123047 0.1797807365655899 0.03042428568005562 0.00968857016414404 0.0021901431027799845 0.002179981442168355
Freud called an unresolved conflict caused by over-indulgence or frustration a(n) [MASK] [SEP] fixation,retentiveness incongruency expressiveness inc expressive re inter imp di app,0.4538377523422241 0.2223293036222458 0.17607717216014862 0.009309557266533375 0.007368140388280153 0.004777251277118921 0.00456078490242362
[MASK] traits are personality traits the comprise a person's unique individual qualities. [SEP] Individual,Central Secondary Cardinal secondary cardinal central primary multiple dominant dual,0.45802730321884155 0.1894257515668869 0.15760162472724915 0.00809678714722395 0.003768578404560685 0.002930242335423827 0.0027905479073524475
A defining characteristic of traits is that they are [MASK] [SEP] enduring,fixed observed evaluative eva diver un ab associated ex deco,0.5156501531600952 0.0076594422571361065 0.007024685386568308 0.005606253631412983 0.0034188630525022745 0.0024589619133621454 0.002313069300726056
"If you met an individual who appeared to be very charming at first, but later you discovered that he or she manipulated people, caused others hurt without a second thought, and could not be depended upon, you might suspect him of being [MASK] [SEP] antisocial",dependent narcissistic paranoid na his anti ex sc inc self,0.21245549619197845 0.012048148550093174 0.007000017911195755 0.005701613612473011 0.004352158401161432 0.003229038091376424 0.002605520421639085
A person who has an extreme lack of self-confidence and who allows others to run his or her life is said to have a(n) [MASK]__ personality. [SEP] dependent,narcissistic paranoid antisocial na anti dependent his di sc authoritarian,0.30133283138275146 0.2802239954471588 0.05291277542710304 0.01662408746778965 0.008431103080511093 0.0068810563534498215 0.005243555177003145
"Because there is considerable overlap among the types of schizophrenia, and because patterns of behavior shift over time, many patients are simply classified as suffering from [MASK]__ schizophrenia. [SEP] undifferentiated",borderline atypical mixed at border his di paranoid cat sc,0.31871721148490906 0.11901234835386276 0.014577352441847324 0.012285111472010612 0.008436012081801891 0.008309673517942429 0.0048350184224545956
[MASK] of the following is related to recent attempts to find biochemical explanations for schizophrenia [SEP] dopamine,schizotaxin psychotropin diazepam diaz sc psycho na his psychotic paranoid,0.3136700689792633 0.24351866543293 0.15568867325782776 0.021101713180541992 0.008975923992693424 0.008793038316071033 0.007405702956020832
[MASK] schizophrenics shift from one pattern of schizophrenic behavior to another. [SEP] Undifferentiated,Catatonic Disorganized Paranoid di cat paranoid sc his border dependent,0.3661542534828186 0.27223485708236694 0.1308269053697586 0.011178741231560707 0.008525666780769825 0.007603276055306196 0.005837350618094206
An unusual state called &quot;waxy flexibility&quot; is sometimes observed in [MASK] schizophrenia. [SEP] catatonic,borderline disorganized paranoid di border his cat sc avoid psycho,0.28216320276260376 0.1205684021115303 0.030036013573408127 0.01840885542333126 0.012820842675864697 0.00730857253074646 0.007282780949026346
Irrational and very specific fears that persist even when there is no real danger to a person are called [MASK] [SEP] phobias,anxieties dissociation's obsessions obsession di an en psycho as his,0.3273674547672272 0.267709344625473 0.2329888492822647 0.009293150156736374 0.007279446814209223 0.006678546778857708 0.00543932942673564
False beliefs that are held even when the facts contradict them are called [MASK] [SEP] delusions,fantasies hallucinations illusions hall di ##usions thoughts obsession pre subconscious,0.02844860777258873 0.003649628022685647 0.0030750087462365627 0.002974811941385269 0.002368702320381999 0.0023200849536806345 0.0015091148670762777
"Discomfort in social situations, fear of evaluation, and timidity are characteristic of [MASK] personality disorder [SEP] avoidant",histrionic obsessive-compulsive schizoid his sc ob na dependent di ad,0.41638827323913574 0.3216516077518463 0.07017458230257034 0.013990282081067562 0.010488619096577168 0.007423223927617073 0.004794167820364237
Gregory has been homeless for the past 3 years. The stress of being homeless seems to have contributed to the onset of psychosis. This example illustrates [MASK] risk factor for mental disorders [SEP] social,family psychological biological physical medical emotional physiological cultural cognitive genetic,0.01093288417905569 0.010580498725175858 0.007259688805788755 0.006961622275412083 0.006431258749216795 0.005342735908925533 0.0047613633796572685
[MASK] schizophrenia usually involves delusions of persecution and grandeur. [SEP] Paranoid,Catatonic Disorganized Undifferentiated di cat und paranoid dependent his con,0.30735161900520325 0.29687440395355225 0.16432185471057892 0.014448055066168308 0.014120090752840042 0.009479508735239506 0.007887512445449829
"In the United States and Latin America, Latinos use the term [MASK] to refer to chronic psychosis. [SEP] locura",mania hispania agua ag his di psycho an my im,0.4312349259853363 0.11721951514482498 0.007656494155526161 0.005829657893627882 0.0048907045274972916 0.0032484643161296844 0.002728221472352743
"Obsessive-compulsive behavior, panic, and phobias are formally classified as [MASK] disorders. [SEP] anxiety",psychotic manic mood mani affect sc anxiety personality schizophrenia stomach,0.3475359380245209 0.008408677764236927 0.006357734557241201 0.00604286091402173 0.004471111577004194 0.0037362133152782917 0.0031158505007624626
"Robert was found wandering naked in the campus parking lot, proclaiming himself to be &quot;Father Time.&quot; He shows evidence of a(n) [MASK] disorder. [SEP] psychotic",anxiety personality affective affect mood psychotic sc behavior his mani,0.44457271695137024 0.0164180975407362 0.007254224736243486 0.004583351314067841 0.004518827889114618 0.0038832607679069042 0.0035030602011829615
A person who mistrusts others and is hypersensitive and guarded may be classified as a(n) [MASK] personality. [SEP] paranoid,dependent antisocial narcissistic anti na his sc paranoid di ex,0.3754326105117798 0.13710841536521912 0.015384208410978317 0.013122079893946648 0.011544132605195045 0.007655658293515444 0.0037779391277581453
"One who is quite concerned with orderliness, perfectionism, and a rigid routine might be classified as a(n) [MASK] personality. [SEP] obsessive-compulsive",histrionic schizoid avoidant his sc avoid dependent na paranoid di,0.49232807755470276 0.2546660900115967 0.10583542287349701 0.018982330337166786 0.016069991514086723 0.008707697503268719 0.007654823828488588
Sudden temporary amnesia or instances of multiple personality are [MASK] disorders. [SEP] dissociative,anxiety psychotic schizophrenic sc affect personality his ad mood nervous,0.26278355717658997 0.013326013460755348 0.012294137850403786 0.012029875069856644 0.008386140689253807 0.006936460267752409 0.0057778507471084595
John has a lack of interest in friends or lovers and experiences very little emotion. He can be described as having [MASK] of the following personality disorders [SEP] schizoid,avoidant borderline paranoid avoid border his sc na anti dependent,0.22250869870185852 0.1812286227941513 0.0226953886449337 0.02068694308400154 0.010565513744950294 0.008004398085176945 0.007125382777303457
"[MASK] of the following personality disorders describes a person who has an extremely unstable self image , is moody , and does not develop stable relationships [SEP] borderline",histrionic narcissistic schizoid his sc na dependent di avoid und,0.4849248230457306 0.26224851608276367 0.08168572932481766 0.03623056039214134 0.006516188383102417 0.006359242834150791 0.004206292796880007
[MASK] of the following personality disorders describes a person who has an exaggerated sense of self-importance and who needs constant admiration [SEP] narcissistic,dependent histrionic schizoid his sc di na paranoid ex avoid,0.3960202932357788 0.16118042171001434 0.018589351326227188 0.016551261767745018 0.012893063016235828 0.006147845182567835 0.005730468314141035
A scientific explanation that remains tentative until it has been adequately tested is called a(n) [MASK] [SEP] hypothesis,theory law experiment hypothesis system explanation process prediction conclusion test,0.004199609626084566 0.004167970735579729 0.003732528770342469 0.0032171988859772682 0.003177374368533492 0.0031730092596262693 0.0028609067667275667
The products of naturalistic observation are best described in terms of [MASK] [SEP] description,explanation theory prediction experiment guess observation analysis conclusion concept evaluation,0.008608953095972538 0.007796983700245619 0.005751339718699455 0.0047800131142139435 0.003973294049501419 0.003255462273955345 0.0030788988806307316
"In the traditional learning experiment, the effect of practice on performance is investigated. Performance is the [MASK]__ variable. [SEP] dependent",independent extraneous control extra dependent variable special same normal associated,0.36164745688438416 0.07576625049114227 0.006197551731020212 0.0039836629293859005 0.0035106735303997993 0.002751718508079648 0.0024896718095988035
"In order to summarize or organize a series of observations in some meaningful way, psychologists may develop [MASK] [SEP] theories",hypotheses experiments surveys h experimental theories tests guess strategies psycho,0.04591583460569382 0.005605335347354412 0.005340862087905407 0.0038091728929430246 0.0037243221886456013 0.0037113470025360584 0.0031471203546971083
"I work at a university, and my research is designed to be of immediate use in the classroom. My research would be called [MASK] [SEP] applied",basic impractical ethical imp applied experimental scientific valid ##tical secondary,0.5975099205970764 0.006449184846132994 0.0058284481056034565 0.003730247262865305 0.00353554030880332 0.003412897465750575 0.0028344483580440283
"In my experiment, I am going to investigate how sleep affects anxiety. The number of hours of sleep the subjects have is called the [MASK] variable. [SEP] independent",control experiential dependent ex extra experimental inter independent com sub,0.15216997265815735 0.037696871906518936 0.008003037422895432 0.0065109883435070515 0.005317198112607002 0.004606637638062239 0.0041116815991699696
"In the simplest experiment, the two groups of subjects are treated exactly alike except for the [MASK] variable. [SEP] independent",dependent extraneous control extra independent associated variable ex sub other,0.24728073179721832 0.014596118591725826 0.004166742321103811 0.0036974623799324036 0.0033063178416341543 0.002227995079010725 0.0018763166153803468
"When subjects in an experiment are chosen so that each has an equal chance of being in either the experimental group or the control group, we say that the subjects have been assigned [MASK] [SEP] randomly",alternately hypothetically consecutively consecutive hypothetical sequential randomly equally orderly as,0.4579218029975891 0.12314235419034958 0.012341857887804508 0.010848408564925194 0.003012278815731406 0.002429249230772257 0.0016536712646484375
The fortune teller who studies your palm carefully before announcing that &quot;great fortune lies in your immediate future&quot; is practicing [MASK] psychology. [SEP] pseudo-,applied commonsense forensic commons comparative psycho industrial secondary humanist behavior,0.2677515745162964 0.01898214779794216 0.011814101599156857 0.005798695608973503 0.0032353538554161787 0.0026863240636885166 0.0024137820582836866
"To estimate the degree of the relationship between birth order and achievement motivation, a researcher would do a(n) [MASK] study. [SEP] correlational",naturalistic inventory experimental naturalist secondary et humanist causal survey trait,0.19338127970695496 0.00926961563527584 0.008435895666480064 0.008134034462273121 0.008131412789225578 0.007835419848561287 0.0055122883059084415
"In order to determine the cause of behavior, the questions we ask must be [MASK] [SEP] testable",tentative based on novel valid experimental specific reliable different medical,0.09574304521083832 0.008514649234712124 0.004921128507703543 0.003314444562420249 0.0021218350157141685 0.0017507008742541075 0.001663550385273993
&quot;I am primarily interested in thinking processes; I am a [MASK] psychologist.&quot; [SEP] cognitive,learning perception personality cognitive developmental physiological behavior psycho motor biological,0.017236538231372833 0.010295774787664413 0.009936572052538395 0.00903430674225092 0.006886821705847979 0.004555936902761459 0.004238649737089872
"Like Carl Rogers, I believe people choose to live more creative and meaningful lives. My name is [MASK] [SEP] Maslow",Wertheimer Washburn Skinner wash skinner we frank rogers miller mas,0.2944549322128296 0.28123196959495544 0.12954719364643097 0.015623774379491806 0.008712728507816792 0.006031313445419073 0.0058708456344902515
"A psychologist performs the following experiment: she gives subjects photographs of female faces and asks them to rate the attractiveness of each face. However, some of the subjects have just had to take a very difficult math test, while others have taken a very easy math test. The psychologist would probably be a [MASK] psychologist. [SEP] social",industrial comparative developmental physiological family school learning cognitive biological social,0.07374540716409683 0.02292957901954651 0.021497774869203568 0.02085750177502632 0.019715944305062294 0.01891961880028248 0.011913102120161057
A psychologist who studies family dynamics and their effects on behavior of individuals in different regions would probably be a [MASK] psychologist. [SEP] cultural,learning developmental cognitive physiological social personality perception learned medical comparative,0.016464967280626297 0.015374328009784222 0.012942401692271233 0.008690535090863705 0.008235149085521698 0.008103282190859318 0.008049665950238705
"Barbara is applying conditioning principles to teach language skills to retarded children. As a psychologist, her point of view appears to be [MASK] [SEP] behaviorist",Freudian Gestalt functionalist freud ge functional behavior psycho skinner humanist,0.39454740285873413 0.22922120988368988 0.10364139080047607 0.040933914482593536 0.015573372133076191 0.008736228570342064 0.008141996338963509
Strict behaviorists were criticized for overlooking the role that [MASK] plays in our lives. [SEP] thinking,reward punishment stimuli stimulus feeling perception learning understanding presenting regulation,0.00837490614503622 0.006513096857815981 0.0059004672802984715 0.00462938891723752 0.004263628274202347 0.003811188507825136 0.003571325447410345
"The study of mental processes such as thinking, perception, information processing, etc. is a key element in [MASK] psychology. [SEP] cognitive",humanistic behavioral biological humanist psycho behavior medical physiological personality human,0.33995604515075684 0.054216932505369186 0.03465696796774864 0.009188259020447731 0.00783267617225647 0.0069152009673416615 0.004348727874457836
[MASK] in psychology would be most likely to study the phenomenon of peer influence [SEP] social,comparative physiological school behavior biological secondary psycho medical physiology natural,0.009414699859917164 0.007698720786720514 0.0075278314761817455 0.00676579587161541 0.006156853400170803 0.004553443752229214 0.004415731877088547
"If you were to walk into a laboratory where the effects of intense punishment on a rat's ability to form a discrimination was being studied, you would be in the lab of a [MASK]__ psychologist. [SEP] learning",physiological developmental social learning medical cognitive comparative perception school family,0.015533287078142166 0.0135508356615901 0.01245048362761736 0.01159115694463253 0.006414218805730343 0.006391021888703108 0.006040006875991821
"Maslow proposed a need to develop one's potential and be the best one can be, which he called [MASK] [SEP] self-actualization",self-image self-concept self-esteem self ego pre autonomy concept subconscious inc,0.9333639144897461 0.0035708725918084383 0.0017980372067540884 0.0017099876422435045 0.001576450653374195 0.0012330723693594337 0.0011988491751253605
Behaviorism helped make psychology a [MASK] [SEP] science,fad specialty hoax fa industry theory school science tradition custom,0.18196609616279602 0.008377794176340103 0.00765801128000021 0.005432923324406147 0.00434197997674346 0.0038731563836336136 0.003086044918745756
"You see a psychologist and tell her that you are feeling depressed. The psychologist focuses on those activities you engage in currently around which you feel depressed, and she talks with you about changing these activities and thoughts that make you feel &quot;down&quot; and doing things which make you happy. This psychologist would probably belong to the [MASK]__ school of psychology. [SEP] behaviorist",humanistic psychodynamic Gestalt psycho behavior humanist ge trait behavioral freud,0.3772944509983063 0.35557085275650024 0.07407499849796295 0.031308114528656006 0.015836067497730255 0.01211833581328392 0.008906204253435135
"You see a psychologist and tell her that you are feeling depressed. She talks to you about the goals you have for yourself, about your image of yourself, and about the choices that you make in your life and that you could make in your life. This psychologist would probably belong to the [MASK] school of psychology. [SEP] humanistic",psychodynamic behavioristic Gestalt psycho behavior humanist trait ge behavioral cognitive,0.6082106232643127 0.29038265347480774 0.023763610050082207 0.013778870925307274 0.011161018162965775 0.007874692790210247 0.0042463080026209354
"[MASK] psychology is concerned with thinking, language, and problem solving. [SEP] Cognitive",Behavioristic Psychoanalytic Humanistic psycho behavior humanist trait behavioral biological cognitive,0.3291619122028351 0.3256147801876068 0.25416749715805054 0.02319631353020668 0.008261775597929955 0.007581962738186121 0.0036365524865686893
"The proper use of reward, punishment, and behavior modification are results of [MASK] [SEP] behaviorism",functionalism humanism structuralism human structural functional behavior social individual humans,0.496845543384552 0.25848230719566345 0.0712231695652008 0.020686395466327667 0.004700421821326017 0.004506212659180164 0.0040352363139390945
"Of the theorists listed below, [MASK] helped to develop the humanistic approach in psychology  [SEP] Rogers",Skinner Titchener Freud freud skinner ti rogers ge watson cannon,0.36886683106422424 0.2873727083206177 0.12861303985118866 0.019994908943772316 0.011040042154490948 0.00811354536563158 0.006138427183032036
William James wrote Principles of Psychology and founded [MASK] [SEP] functionalism,structuralism behaviorism humanism behavior human structural functional humanist trait psycho,0.4446203112602234 0.20410941541194916 0.20083962380886078 0.012370673939585686 0.011026286520063877 0.00682360865175724 0.005240101367235184
[MASK] focus their work on the attempt to explain all behavior in terms of internal physical mechanisms. [SEP] Biopsychologists,Behaviorists Psychoanalysts Humanists behavior psycho humanist trait structural cognitive behavioral,0.3076671063899994 0.30285993218421936 0.30096134543418884 0.006130559369921684 0.005771283991634846 0.002772594802081585 0.0024452435318380594
"According to the [MASK] view, the need for love, self-esteem, belonging, self expression, and creativity are as important as biological needs. [SEP] humanistic",psychodynamic behavioristic cognitive psycho behavior trait humanist biological behavioral structural,0.3819510042667389 0.32033827900886536 0.030403777956962585 0.01726001314818859 0.007543299812823534 0.0057571628130972385 0.004396853502839804
Information picked up by the body's receptor cells is termed [MASK] [SEP] sensation,cognition perception adaptation attention regulation encoding res awareness vision thought,0.004537440836429596 0.004070589784532785 0.0037234826013445854 0.0031801348086446524 0.0031404527835547924 0.003099994733929634 0.00302185514010489
Hearing aids are of no use to an individual with [MASK] deafness. [SEP] nerve,ossicle conduction auditory os conduct ep temporal vascular pulmonary thyroid,0.2278316468000412 0.06974637508392334 0.015402567572891712 0.007964077405631542 0.00735361548140645 0.0061593265272676945 0.005674929823726416
Information processed below the normal level of awareness is called [MASK] [SEP] subliminal,adaptive subnormal psychophysical sub psycho pre cerebral en post territorial,0.3705541491508484 0.28605982661247253 0.009260126389563084 0.006317299325019121 0.003970710095018148 0.0038410897832363844 0.0036849237512797117
The process where the lens of the eye changes shape is called [MASK] [SEP] accommodation,plasticity adaptation regulation plastic re attention red conservation diffusion compression,0.3630284368991852 0.0073508876375854015 0.0030858826357871294 0.002897050231695175 0.0028565931133925915 0.0024660283233970404 0.0018501280574128032
The incoming flow of information from our sensory systems is referred to as [MASK] [SEP] sensation,perception adaptation cognition encoding retrieval attention evaluation response habit vision,0.005147721618413925 0.004077899735420942 0.004020444117486477 0.0029444957617670298 0.0022642503026872873 0.002213227329775691 0.0020322164054960012
The psychological dimension corresponding to the amplitude of light waves is [MASK] [SEP] brightness,hue transparency timbre tim gray brightness intensity red translucent pink,0.21736860275268555 0.011620852164924145 0.005880170967429876 0.005149129778146744 0.004391789436340332 0.004192343447357416 0.0031095854938030243
[MASK] explains the perception of higher sounds [SEP] place,tone frequency auditory place color temperature amplitude time intensity temporal,0.03152329474687576 0.003974247723817825 0.003352331230416894 0.0029722237959504128 0.002950884634628892 0.0025518981274217367 0.0017317172605544329
a skin sensation is [MASK] of the following [SEP] pain,oomami olfaction gravity ol o temperature ul res an inflammation,0.3938787281513214 0.08503688126802444 0.005749593488872051 0.004601601045578718 0.004307867027819157 0.003314859000965953 0.003244591411203146
Taste buds sensitive to sweet substances are found primarily on the [MASK] of the tongue. [SEP] tip,side back middle center bottom skin top tail left upper,0.007219931110739708 0.004948790185153484 0.004080015700310469 0.003837886033579707 0.003803357481956482 0.00359181291423738 0.0035801955964416265
The [MASK]__ theory explains that hearing high or low tones depends upon which area of the cochlea is most strongly stimulated. [SEP] place,tone frequency auditory place temperature pressure intensity temporal amplitude mass,0.017040014266967773 0.0035751997493207455 0.002008642302826047 0.0019054405856877565 0.0017724380595609546 0.0016362330643460155 0.0015289494767785072
Sense organs in the joints and muscles contribute to our [MASK] sense. [SEP] kinesthetic,skin pressure temperature weight touch vision muscle eye color hearing,0.012129017151892185 0.011783565394580364 0.008805397897958755 0.004675287753343582 0.004599370528012514 0.003407589392736554 0.0034045372158288956
The part of the eye that focuses the image is called the [MASK] [SEP] lens,retina iris pupil re lens eye aperture cock sp fi,0.2585907578468323 0.026580313220620155 0.009127337485551834 0.0030120171140879393 0.0018339427188038826 0.0012081769527867436 0.0011213825782760978
The scientific term for farsightedness is [MASK] [SEP] hyperopia,myopia retinitis astigmatism my as re an me his h,0.3309573233127594 0.2708818018436432 0.1939696967601776 0.030752472579479218 0.008192978799343109 0.005520610138773918 0.0050351484678685665
Olfaction is another name for the sense of [MASK] [SEP] smell,taste hearing vision touch smell sight thought feeling perception temperature,0.021938946098089218 0.00878703873604536 0.007918300107121468 0.00567346578463912 0.0027029498014599085 0.0018746977439150214 0.00177038146648556
"According to Weber's Law, if two light bulbs must go out in a room in which twenty are burning to make the room noticeably dimmer, then a room in which forty are burning will become noticeably dimmer when [MASK] bulbs go out. [SEP] four",two six eight three seven five twelve four one nine,0.03103208728134632 0.014736776240170002 0.014346594922244549 0.00969107449054718 0.006749514024704695 0.005029809661209583 0.004608570598065853
The ringing sensation following exposure to loud sounds is called [MASK] [SEP] tinnitus,olfaction anosmia gustation gust ol an fe x ch mu,0.4478418529033661 0.32262131571769714 0.08473210781812668 0.005893493536859751 0.005231321789324284 0.004603789187967777 0.002866756170988083
The [MASK] theory explains how sounds up to 4000 hertz reach the brain. [SEP] frequency,place auditory tone frequency intensity sound touch hearing taste color,0.018272869288921356 0.0025497153401374817 0.0021981701720505953 0.002105312654748559 0.001824830542318523 0.0015304026892408729 0.001367315649986267
"When you were in seventh grade, you had to get glasses because you could not see the board at school. Your vision problem is called [MASK] [SEP] myopia",hyperopia astigmatism presbyopia as pre hyper my an re at,0.4753245711326599 0.2317492663860321 0.05791226401925087 0.02795548364520073 0.02491091378033161 0.005458621773868799 0.005127582233399153
[MASK] explains the perception of lower sounds [SEP] frequency,tone place auditory frequency color sound hearing intensity touch amplitude,0.017272112891077995 0.0032936236821115017 0.003211468691006303 0.0031351924408227205 0.002640526043251157 0.002308039693161845 0.002106334548443556
